Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2020-10-28 16:11:49.307782	1.0	2.8	0	0.3	2	0.0	0.0
2020-10-28 16:11:50.357128	2.1	3.3	50	0.3	2	0.0	0.0
2020-10-28 16:11:51.358999	3.1	4.4	100	0.3	3	0.0	0.0
2020-10-28 16:11:52.361308	4.1	5.0	62	0.6	5	0.0	0.0
2020-10-28 16:11:53.363395	5.1	6.3	135	0.8	7	0.0	0.0
2020-10-28 16:11:54.365693	6.1	6.9	55	0.9	7	0.0	0.0
2020-10-28 16:11:55.367601	7.1	8.3	141	1.1	9	0.0	0.0
2020-10-28 16:11:56.370062	8.1	9.5	120	1.3	10	0.0	0.0
2020-10-28 16:11:57.371890	9.1	10.1	65	1.4	11	0.0	0.0
2020-10-28 16:11:58.373681	10.1	11.4	127	1.5	12	0.0	0.0
2020-10-28 16:11:59.406526	11.1	12.3	84	1.7	14	0.0	0.0
2020-10-28 16:12:00.408406	12.1	13.4	110	2.7	22	0.0	0.0
2020-10-28 16:12:02.462311	14.2	15.4	100	1.6	13	0.0	0.0
2020-10-28 16:12:03.464394	15.2	16.4	99	2.8	23	0.0	0.0
2020-10-28 16:12:04.466315	16.2	17.4	101	2.8	23	0.0	0.0
2020-10-28 16:12:05.468432	17.2	18.4	100	2.8	23	0.0	0.0
2020-10-28 16:12:06.470511	18.2	18.9	43	0.5	4	0.0	0.0
2020-10-28 16:12:07.472411	19.2	18.9	4	0.5	4	0.0	0.0
2020-10-28 16:12:08.474238	20.2	19.0	10	0.5	4	0.0	0.0
2020-10-28 16:12:09.759774	21.5	19.7	57	0.5	4	0.0	0.0
2020-10-28 16:12:10.884855	22.6	20.9	107	0.5	4	0.0	0.0
2020-10-28 16:12:12.055499	23.8	22.0	104	0.5	4	0.0	0.0
2020-10-28 16:12:13.199672	24.9	23.4	109	0.5	4	0.0	0.0
2020-10-28 16:12:14.232940	25.9	24.5	102	0.5	4	0.0	0.0
2020-10-28 16:12:15.928399	27.6	26.3	122	0.5	4	0.0	0.0
2020-10-28 16:12:16.930275	28.6	26.7	24	0.5	4	0.0	0.0
2020-10-28 16:12:17.932027	29.6	27.1	47	0.5	4	0.0	0.0
2020-10-28 16:12:18.933918	30.6	27.2	10	0.5	4	0.0	0.0
2020-10-28 16:12:20.707185	32.4	28.9	99	0.5	4	0.0	0.0
2020-10-28 16:12:22.347098	34.0	30.6	116	0.5	4	0.0	0.0
2020-10-28 16:12:24.111529	35.8	32.9	122	0.5	4	0.0	0.0
2020-10-28 16:12:25.716454	37.4	35.0	119	0.5	4	0.0	0.0
2020-10-28 16:12:26.721495	38.4	35.7	70	0.6	5	0.0	0.0
2020-10-28 16:12:28.123329	39.8	36.7	80	0.5	4	0.0	0.0
2020-10-28 16:12:29.125281	40.8	37.8	102	0.5	4	0.0	0.0
2020-10-28 16:12:30.127414	41.8	38.8	96	1.1	9	0.0	0.0
2020-10-28 16:12:31.250564	42.9	40.8	176	1.0	8	0.0	0.0
2020-10-28 16:12:32.255658	44.0	42.1	131	1.1	9	0.0	0.0
2020-10-28 16:12:33.257924	45.0	43.7	162	1.8	15	0.0	0.0
2020-10-28 16:12:34.260086	46.0	45.1	143	1.6	13	0.0	0.0
2020-10-28 16:12:35.262134	47.0	46.9	179	1.5	12	0.0	0.0
2020-10-28 16:12:36.281868	48.0	48.7	172	2.0	16	0.0	0.0
2020-10-28 16:12:37.283956	49.0	49.7	104	1.8	14	0.0	0.0
2020-10-28 16:12:38.286039	50.0	50.7	99	3.4	27	0.0	0.0
2020-10-28 16:12:40.019546	51.7	52.4	100	1.7	14	0.0	0.0
2020-10-28 16:12:41.021383	52.7	53.4	100	2.9	23	0.0	0.0
2020-10-28 16:12:42.023615	53.7	54.4	101	2.9	23	0.0	0.0
2020-10-28 16:12:43.026119	54.7	55.5	100	2.9	23	0.0	0.0
2020-10-28 16:12:44.027943	55.7	55.9	42	0.5	4	0.0	0.0
2020-10-28 16:12:45.039952	56.7	56.7	86	0.5	4	0.0	0.0
2020-10-28 16:12:46.597105	58.3	58.4	105	0.5	4	0.0	0.0
2020-10-28 16:12:47.865223	59.6	59.8	114	0.5	4	0.0	0.0
2020-10-28 16:12:48.987983	60.7	61.0	104	0.5	4	0.0	0.0
2020-10-28 16:12:50.050542	61.7	62.1	104	0.5	4	0.0	0.0
2020-10-28 16:12:51.052471	62.7	63.0	87	0.5	4	0.0	0.0
2020-10-28 16:12:52.054317	63.8	63.4	41	0.5	4	0.0	0.0
2020-10-28 16:12:53.253679	64.9	64.5	96	0.5	4	0.0	0.0
2020-10-28 16:12:54.674720	66.4	65.9	102	0.5	4	0.0	0.0
2020-10-28 16:12:56.564851	68.3	68.1	121	0.5	4	0.0	0.0
2020-10-28 16:12:58.186020	69.9	70.0	122	0.5	4	0.0	0.0
2020-10-28 16:12:59.187825	70.9	71.1	86	0.6	5	0.0	0.0
2020-10-28 16:13:00.189929	71.9	72.2	20	0.6	5	0.0	0.0
2020-10-28 16:13:01.191858	72.9	73.2	0	0.7	6	0.0	0.0
2020-10-28 16:13:02.194233	73.9	74.2	0	1.0	8	0.0	0.0
2020-10-28 16:13:03.196222	74.9	75.2	0	1.0	8	0.0	0.0
2020-10-28 16:13:04.198237	75.9	76.1	0	1.1	9	0.0	0.0
2020-10-28 16:13:05.200148	76.9	77.0	0	1.2	9	0.0	0.0
2020-10-28 16:13:06.202166	77.9	78.0	1	1.2	9	0.0	0.0
2020-10-28 16:13:07.204120	78.9	78.9	0	0.9	7	0.0	0.0
2020-10-28 16:13:08.205914	79.9	79.6	72	0.6	5	0.0	0.0
2020-10-28 16:13:09.207952	80.9	80.5	85	0.5	4	0.0	0.0
2020-10-28 16:13:10.209881	81.9	81.4	88	0.5	4	0.0	0.0
2020-10-28 16:13:11.211798	82.9	82.2	89	0.6	5	0.0	0.0
2020-10-28 16:13:12.213770	83.9	83.2	95	0.6	5	0.0	0.001
2020-10-28 16:13:13.271407	85.0	84.1	89	0.5	4	0.0	0.001
2020-10-28 16:13:14.320463	86.0	84.7	53	0.5	4	0.0	0.001
2020-10-28 16:13:15.322393	87.0	85.1	36	0.5	4	0.0	0.002
2020-10-28 16:13:16.528707	88.2	86.2	94	0.5	4	0.0	0.002
2020-10-28 16:13:17.924937	89.6	87.7	109	0.5	4	0.0	0.002
2020-10-28 16:13:19.330582	91.0	89.1	111	0.5	4	0.0	0.002
